점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
세븐일레븐 도곡공원점,서울특별시,강남구,11680,서울특별시 강남구 도곡로4길 5,,37.4895461,127.033329,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 도곡센트레빌점,서울특별시,강남구,11680,서울특별시 강남구 선릉로 206,,37.491453,127.0556417,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 메트로칸점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로88길 10,,37.5068062,127.0594495,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 삼성10호점,서울특별시,강남구,11680,서울특별시 강남구 삼성로115길 46,,37.5139612,127.048401,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 삼성동래미안점,서울특별시,강남구,11680,서울특별시 강남구 선릉로130길 20,,37.51566482,127.043345,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 삼성베스트점,서울특별시,강남구,11680,서울특별시 강남구 삼성로104길 12,,37.5108204,127.055755,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 삼성플러스원점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로57길 13,,37.5116097,127.044926,,서울강남경찰서,,Y,2026-01-29
CU 대치예영점,서울특별시,강남구,11680,서울특별시 강남구 삼성로63길 5,,37.4998355,127.059663,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 세븐포이3호점,서울특별시,강남구,11680,서울특별시 강남구 논현로12길 19-9,,37.4753372,127.0486408,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 신사제일점,서울특별시,강남구,11680,서울특별시 강남구 논현로 808,,37.52090959,127.0284222,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 신사증권점,서울특별시,강남구,11680,서울특별시 강남구 압구정로30길 18,,37.52631186,127.0289891,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 압구정로데오본점,서울특별시,강남구,11680,서울특별시 강남구 도산대로51길 44,,37.5259514,127.0383732,,서울강남경찰서,,N,2026-01-29
세븐일레븐 역삼22호점,서울특별시,강남구,11680,서울특별시 강남구 언주로71길 9,,37.497325,127.044262,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 역삼8호점,서울특별시,강남구,11680,서울특별시 강남구 강남대로102길 11,,37.5019276,127.0267351,,서울강남경찰서,,Y,2026-01-29
